NEW OFFICE,EST_ID,NEW TASK ID,NEW ENF TASK,EST_NAME
Kukatpally,APHYD3062120000,30101,70101,TPL SUBCONTRACTOR EMPLOYEES PF
Kukatpally,APHYD0042235000,30102,70101,K L TECHNICAL SERVICES
Kukatpally,APHYD0001932000,30103,70101,AUTOMOTIVE MANUFACTURERS PRIVATE LIMITED
Kukatpally,APHYD0072325000,30104,70101,PPS MOTORS PRIVATE LIMITED
Kukatpally,APHYD0028986000,30105,70101,TATA PROJECTS LIMITED
Kukatpally,APHYD0044203000,30201,70101,S K SAFETY WINGS PRIVATE LIMITED
Kukatpally,APHYD0026093000,30202,70101,T.M.INPUTS - SERVICES PVT. LTD.
Kukatpally,APHYD0061262000,30203,70101,KVR BEST PROPERTY MANAGEMENT PRIVATE LIMITED
Kukatpally,APHYD0032384000,30203,70101,HYDRO PNEUMATIC ENGINEERS (HYD) PRIVATE LIMITED
Kukatpally,APHYD1517555000,30202,70101,ALL SERVICES GLOBAL PVT.LTD.
Kukatpally,APHYD0044415000,30201,70101,PARADISE FOOD COURT PRIVATE LIMITED
Kukatpally,APHYD0044258000,30105,70101,KRISHNA INSTITUTE OF MEDICAL SCIENCES
Kukatpally,APHYD0002847000,30104,70101,TRANSPORT CORPORATION OF INDIA LIMITED
Kukatpally,APHYD1512124000,30103,70101,TCI EXPRESS LIMITED
Kukatpally,APHYD0044431000,30102,70101,YASHODA HEALTH CARE SERVICES PRIVATE LIMITED
Kukatpally,APHYD2880915000,30205,70101,EMRI HYDERABAD EMERGENCY RESPONSE SERVICES FOUNDATION
Kukatpally,APHYD0053971000,30101,70101,CHANDANA BROTHERS TEXTILES & JEWELLERS PRIVATE LIMITED
Kukatpally,APHYD0081005000,30102,70101, SS  INFRA SERVICES INDIA PVT LTD
Kukatpally,APHYD0026317000,30103,70101,KAVERI SEED COMPANY LTD
Kukatpally,APHYD0044204000,30104,70101,AQUITY SOLUTIONS INDIA PRIVATE LIMITED
Kukatpally,APHYD0018483000,30105,70101,"PRIVATE EYE SECURITY SERVICES,"
Kukatpally,APHYD0061839000,30201,70101,"G.H.M.C-HEALTH - SANITARY,NORTH ZONE,"
Kukatpally,APHYD0037686000,30202,70101,SATYAM VENTURE ENGINEERING SERVICES PVT LTD
Kukatpally,APHYD1384433000,30203,70101,BIGLEAP TECHNOLOGIES & SOLUTIONS PRIVATE LIMITED
Kukatpally,APHYD0018177000,30203,70101,HAWK SECURITY SERVICES PRIVATE LIMITED
Kukatpally,APHYD0047718000,30202,70101,RAMTECH SOFTWARE SOLUTIONS (P) LTD
Kukatpally,APHYD0063087000,30201,70101,SUNSHINE HOSPITALS
Kukatpally,APHYD0044199000,30105,70101,PESS PROTECTION FORCE PVT LTD
Kukatpally,APHYD0000176000,30104,70101,DECCAN CHRONICLE
Kukatpally,APHYD0064597000,30103,70101,SUNDROP FOODS INDIA PRIVATE LIMITED
Kukatpally,APHYD0044219000,30105,70101,OM SREE SAI SECURITY - HOUSE KEEPING SERVICES
Kukatpally,APHYD0061107000,30101,70101,VINAYAKA MANPOWER SERVICES
Kukatpally,APHYD0053301000,30104,70101,247HIRE INDIA PRIVATE LIMITED
Kukatpally,APHYD0017746000,30205,70101,FIREWALL SECURITY SERVICES
Kukatpally,APHYD0001522000,30103,70101,SECUNDERABAD CLUB
Kukatpally,APHYD0043807000,30104,70101,SURYA INTERNATIONAL
Kukatpally,APHYD1496839000,30105,70101,RAJYALAKSHMI HEALTHCARE PRIVATE LIMITED
Kukatpally,APHYD1441615000,30201,70101,LAVEN SERVICES PRIVATE LIMITED
Kukatpally,APHYD0029884000,30202,70101,ASIA ENGINEERING COMPANY LTD
Kukatpally,APHYD0024579000,30203,70101,"SECRET INVESTIGATION - SECURITY SERVICES,"
Kukatpally,APHYD1421042000,30203,70101,PPS BUSINESS SOLUTIONS PRIVATE LIMITED
Kukatpally,APHYD2210346000,30202,70101,CHANDANA BROTHERS (PATNY CENTRE)
Kukatpally,APHYD0042073000,30201,70101,FORTUNE MOTORS PRIVATE LIMITED
Kukatpally,APHYD2289954000,30105,70101,MANEPALLY JEWELLERS PRIVATE LIMITED
Kukatpally,APHYD1477667000,30104,70101,PADMASAI FINANCE PRIVATE LIMITED
Kukatpally,APHYD1068154000,30103,70101,COMMISSIONER GREATER HYDERABAD MUNICIPAL CORPORATION
Kukatpally,APHYD2580211000,30102,70101,FORTUNE MOTORCARS PRIVATE LIMITED
Kukatpally,APHYD0053411000,30104,70101,MONARCH ERGO PRIVATE LIMITED
Kukatpally,APHYD0072094000,30101,70101,VIBRANT CARS PRIVATE LIMITED
Kukatpally,APHYD1567199000,30105,70101,YASHODA HEALTH CARE SERVICES PVT LTD (UNIT YASHODA HOSPITAL)  VENTURE II
Kukatpally,APHYD0081849000,30103,70101,ADVANTAGE ONE HUMAN RESOURCING PRIVATE LIMITED
Kukatpally,APHYD0002387000,30104,70101,"AUTOFIN LIMITED,"
Kukatpally,APHYD0061886000,30105,70101,WEST PHARMACEUTICAL PACKAGING INDIA PVT LTD
Kukatpally,APHYD0064330000,30201,70101,GREATER HYDERABAD MUNICIPAL CORPORATION
Kukatpally,APHYD0082059000,30202,70101,V3 STAFFING SOLUTIONS INDIA PVT LTD
Kukatpally,APHYD1616827000,30203,70101,HIGH PRECISION ENGINEERING COMPOSITES PRIVATE LIMITED 
Kukatpally,APHYD2654015000,30203,70101,MAXIMAL FINANCE AND INVESTMENTS LIMITED
